n,scipyTime
0,0
1000,0.03988814353942871
2000,0.13682913780212402
3000,0.2989058494567871
4000,0.5501053333282471
5000,0.7998278141021729
6000,1.1932692527770996
7000,1.794774055480957
8000,2.5794966220855713
9000,2.6772193908691406
